Trial,Country,parish.subl,Farm.no.,yld_t0,yld_t4,T4.T0,pH_soil,SOC_soil,N_soil,P_soil,K_soil,Ca_soil,Mg_soil,K.Ca.Mg,Ca.Ca.P,SOC.K,SOC..Ca.Mg..K
VxF,Kenya,Mungatsi,Jackson Nyongese,5.75,10.25,4.5,5.1,1.648244294,0.089357818,3.322851407,0.421631228,0.598551724,0.73862069,0.31531553,0.107818293,3.909208295,5.227285492
VxF,Kenya,Mungatsi,James Kokonya,19.5,14.5,-5,6.4,2.146415996,0.130224233,NA,0.879220972,5.685953177,1.233946488,0.127056896,NA,2.441270243,16.89334514
VxF,Kenya,Mungatsi,Indith Makokha,11.25,13.75,2.5,6.1,2.146415996,0.127449649,8.125822142,0.976486212,2.919479167,1.723958333,0.21029382,1.048922614,2.198101694,10.20674783
VxF,Kenya,Mungatsi,Praxides Wesonga,21.75,29.25,7.5,5.2,1.842847145,0.099985742,7.519942427,0.32715199,0.309130435,0.373745819,0.479079464,0.01270776,5.632999963,3.846641914
VxF,Kenya,Mungatsi,Janepher Thalusi,16.75,16.75,0,5.5,2.093389452,0.097738687,5.44421982,0.45593343,1.166237288,0.525932203,0.269437212,0.249826322,4.591436636,7.769488998
VxF,Kenya,Mungatsi,Rose Namenere,6.375,16.5,10.125,4.8,2.244002682,0.092856759,7.406322101,0.343222614,0.1,0.1,1.716113068,0.001350198,6.538038558,1.307607712
VxF,Kenya,Kwang'amor,Celestine Imasaja,11.5,8.5,-3,6,1.122485643,0.051040773,3.589798978,0.228742112,0.224183673,0.12329932,0.658282898,0.014000316,4.907210283,1.705172117
VxF,Kenya,Kwang'amor,Robina Imasaja,6.75,10.5,3.75,6.2,1.708313387,0.054949832,4.142575994,0.509471067,2.808541667,0.6328125,0.148043777,1.904106601,3.353111682,11.53924486
VxF,Kenya,Kwang'amor,Janerose Naliaka,9,15.25,6.25,5.8,0.949180172,0.011353834,2.163023363,0.123508137,0.1,0.1,0.617540687,0.004623159,7.685163032,1.537032606
VxF,Kenya,Kwang'amor,Odilia Oduma,13.5,19.25,5.75,5.5,1.586195238,0.083772954,4.199826718,0.725348638,0.665491525,0.46779661,0.640039029,0.105451725,2.18680391,2.478278926
VxF,Kenya,Kwang'amor,Eunice Achebo,8.875,14.5,5.625,5.9,1.153062825,0.03039692,4.682346492,0.187152637,0.1,0.07329932,1.07993867,0.002135681,6.16108244,1.067711396
VxF,Kenya,Kwang'amor,Margaret Imasaja,16,23.5,7.5,5.9,0.882802829,0.041969826,2.935531707,0.185262206,0.1,0.078282828,1.039147786,0.003406538,4.765153384,0.849545022
VxF,Kenya,Kwang'amor,Lucy Imasaja,16.2,26,9.8,6.7,1.380410535,0.054500357,7.595088931,0.527039035,2.479448276,0.682241379,0.166695373,0.809426171,2.619180827,8.281036925
VxF,Kenya,Kwang'amor,Wilimina Ekuret,11,16.25,5.25,6.1,0.96116169,0.038319422,4.910982809,0.224916993,0.211404682,0.286956522,0.451313206,0.009100406,4.27340628,2.129699899
VxF,Kenya,Kwang'amor,Beatrice Nabwire,11.75,12,0.25,5.7,0.965198168,0.051164382,6.138728512,0.286257991,0.1,0.027759197,2.24060574,0.001629002,3.371777204,0.430775549
VxF,Tanzania,Ngunja,Caleb Okoth,4,12.75,8.75,5.8,1.88195417,0.095740519,4.316895059,0.404736597,0.308885017,0.539372822,0.477138646,0.022101523,4.649824563,3.944250139
VxF,Tanzania,Ngunja,Carolyne Juma,9.5,11.5,2,5,1.179035084,0.059840906,2.238390031,0.191717335,0.1,0.104006969,0.939758757,0.004467497,6.149861626,1.254614628
VxF,Tanzania,Ngunja,Mary Omondi,3.5,11,7.5,5,1.535463977,0.084090943,1.841618554,0.449833986,0.424916388,1.055852843,0.30378399,0.098040898,3.413401446,5.054459833
VxF,Tanzania,Ngunja,Pastor Ocheng,9.25,11.75,2.5,6.1,1.470831169,0.072025138,2.708607381,0.551926989,1.470833333,1.061284722,0.217970481,0.798694824,2.664901694,6.747845695
VxF,Tanzania,Ngunja,Lorna Oduri,2.75,12.75,10,6,1.836481757,0.091338276,2.727548691,0.277893309,1.632482517,1.226748252,0.097191634,0.977067496,6.608585726,18.89547165
VxF,Tanzania,Ngunja,Paul Obiero,8.25,14.5,6.25,5.9,1.358645571,0.052587463,2.463731309,0.287218588,0.121308725,0.210234899,0.866307078,0.005972975,4.730353907,1.568318678
VxF,Tanzania,Ngunja,Philigona Juma,7.125,11.75,4.625,5.7,1.096727358,0.059698284,2.858013568,0.42309016,0.349723183,0.440657439,0.535299256,0.042794165,2.592183564,2.04881166
VxF,Tanzania,Ngunja,Patricia Ndere,7.375,8.5,1.125,5.7,1.501828125,0.091500833,3.100472677,0.578318509,0.3525,0.424662162,0.74414136,0.040076551,2.596887533,2.01820273
VxF,Tanzania,Ngunja,Oswald Ogola,5.5,6.375,0.875,6.2,1.613074653,0.079546486,4.526268276,0.457484224,2.261734694,1.036054422,0.138724523,1.130168058,3.525967826,11.62789832
VxF,Kenya,Alupe,Rep1-AL,11.5,12.8,1.3,5.4,2.602652754,0.154401298,4.720165785,0.504806246,6.564080268,3.056521739,0.052471378,9.128312801,5.155745939,49.60137973
VxF,Kenya,Alupe,Rep2-AL,5.5,11.9,6.4,5.4,2.602652754,0.154401298,4.720165785,0.504806246,6.564080268,3.056521739,0.052471378,9.128312801,5.155745939,49.60137973
VxF,Kenya,Alupe,Rep3-AL,10.4,12,1.6,5.4,2.602652754,0.154401298,4.720165785,0.504806246,6.564080268,3.056521739,0.052471378,9.128312801,5.155745939,49.60137973
VxF,Kenya,Alupe,Rep4-AL,8,15,7,5.4,2.602652754,0.154401298,4.720165785,0.504806246,6.564080268,3.056521739,0.052471378,9.128312801,5.155745939,49.60137973
VxF,Uganda,Minani,Ibrahim Mayungule,24.5,28.25,3.75,6.3,1.628638143,0.094657832,11.54734411,1.024383611,7.7326,1.726666667,0.108294189,5.178082699,1.589871338,15.03901695
VxF,Uganda,Minani,Musa Kirunda,21.5,27,5.5,5.9,1.587207876,0.085872306,5.187745071,0.513904822,2.856521739,1.177591973,0.127389771,1.57288308,3.088524975,12.45946095
VxF,Uganda,Minani,Hadidja Kitafugwa,26.5,44,17.5,6.1,1.776675051,0.09891194,6.052369249,0.760579136,7.335050167,2.05367893,0.081009807,8.889570141,2.335950287,21.93160443
VxF,Uganda,Minani,Robina Menya,18.75,26.5,7.75,6.2,1.260179645,0.069911622,4.653407328,0.573654822,4.1788,1.223166667,0.106193699,3.752598517,2.196755952,11.86680243
VxF,Uganda,Minani,Michael Kopia,25.25,51.25,26,6.1,1.688958074,0.103751823,3.977271221,0.71946675,7.282173913,1.684949833,0.080233838,13.3332765,2.347513729,21.0504461
VxF,Uganda,Minani,Abdullah Kirunda,20,20.75,0.75,6.1,1.874495595,0.099078043,3.779068336,0.612588206,7.030066445,1.634551495,0.070699967,13.07778263,3.059960308,26.51338698
VxF,Uganda,Minani,Asaani Kasango,10.5,31,20.5,6.3,2.088856761,0.125494923,6.225294085,1.788388779,9.088093645,2.504849498,0.154265294,13.26739669,1.168010438,13.54067859
VxF,Uganda,Kisiro,Nikirima Arajabu,21.5,16.4,-5.1,6.7,1.348153671,0.046757104,15.34896021,0.362132745,2.499721254,0.671777003,0.114183492,0.407102909,3.722816262,11.80690529
VxF,Uganda,Kisiro,Robert Muyamba,21,NA,NA,6.4,1.581302529,0.070020932,NA,0.407576854,3.086842105,0.935438596,0.101329789,NA,3.879765288,15.60550505
VxF,Uganda,Kisiro,Patrice Ojambo,15.65,7.05,-8.6,6.6,1.476688193,0.05579914,21.94595443,0.920114971,4.022809365,1.294983278,0.173025733,0.737402205,1.604895302,8.534500426
VxF,Uganda,Kisiro,Idibiya Osunuel Wakula,9.75,12.75,3,6.5,1.652147477,0.066907269,15.77868622,0.51483392,3.778,0.821403509,0.111934932,0.904592677,3.209088235,14.75989169
VxF,Uganda,Buwaga,Fred Kasigaire,17.95,32,14.05,6.5,1.183817105,0.03678619,4.480548394,0.288185654,1.974646465,0.450673401,0.118823772,0.870257013,4.107828019,9.962796898
VxF,Uganda,Buwaga,Namutamba Abibu,13.5,17,3.5,6.5,0.986963797,0.005598891,4.030614481,0.268505022,1.372601351,0.519425676,0.141913946,0.467431078,3.67577407,6.954663885
VxF,Uganda,Namulonge,Rep1-NL,15.5,14.75,-0.75,6.7,3.602620512,0.204219199,7.812688196,1.177881241,9.821036789,3.254013378,0.090086174,12.34565635,3.058560053,39.99082613
VxF,Uganda,Namulonge,Rep2-NL,20.3125,19.0625,-1.25,6.3,2.615806795,0.147117415,2.604229399,0.52583984,6.261571906,2.319899666,0.061276185,15.0552339,4.9745314,42.6887998
VxF,Uganda,Namulonge,Rep3-NL,16.5625,18.3125,1.75,6.4,3.169910683,0.179207022,5.04569446,1.514418739,9.557157191,3.489632107,0.116075971,18.1024147,2.093153368,27.30893095
VxF,Uganda,Namulonge,Rep4-NL,15.6875,15.0625,-0.625,6.2,3.636102899,0.191455499,7.324395184,1.135814054,7.812842809,3.073578595,0.104333096,8.333863921,3.201318813,34.85090565
