pH,OC,N,Meh_P,Ca,Mg,K,Na,Exch_Acidity,ECEC,Yield
NA,NA,NA,NA,NA,NA,1.68,NA,NA,NA,2.456
NA,NA,NA,NA,NA,NA,1.52,NA,NA,NA,1.406
5.4,1.85,0.23,1.05,5.86,2.55,0.82,0.09,0.75,10.07,0.117
5.7,2.16,0.18,5.97,7.81,3.79,0.63,0.08,0.33,12.65,1.397
5.3,1.71,0.24,2.69,5.25,2,0.76,0.09,0.92,9.02,0.667
6.5,1.16,0.26,9.65,10.44,3.84,1.56,0.09,0.17,16.1,2.413
5.8,1.83,0.18,10.27,7.5,2.16,0.71,0.07,0,10.45,3.485
5.9,1.94,0.15,2.69,7.3,2.93,1.07,0.08,0,11.37,1.813
5.5,1.97,0.21,1.26,6.17,2.39,0.82,0.09,0,9.47,1.884
5.7,2.1,0.15,3.92,8.32,3.24,0.79,0.07,0,12.42,0.706
5.9,1.61,0.22,2.28,9.08,5.38,0.6,0.09,0,15.14,0.17
6.2,2.38,0.19,1.26,7.78,3.29,1.05,0.09,0,12.2,4.55
5.8,1.89,0.19,1.46,8.22,3.7,0.85,0.09,0,12.85,0.955
6.1,2.31,0.19,1.67,7.78,3.33,1.51,0.08,1.2,13.89,2.332
5.4,2.3,0.23,4.33,5.11,1.9,0.8,0.06,0.17,8.04,0.627
5.3,2.8,0.24,2.49,8.5,2.83,1.1,0.09,0.42,13,0.761
5.1,2.39,0.22,9.45,8.67,3.05,1.24,0.08,0.84,14,0.733
4.7,3.03,0.22,2.69,5.8,2.57,0.18,0.08,2.34,11,4.911
5.2,2.16,0.28,5.76,7.57,3.28,1.1,0.08,0.42,12,4.843
5.2,2.37,0.21,2.49,5.86,2.38,0.68,0.06,0.42,9,0.387
5.3,2.21,0.26,1.26,11.5,5.13,0.96,0.08,0.42,18,2.699
5.4,2.78,0.3,5.56,9.04,3.79,1.14,0.09,0.33,14,2.7
NA,NA,0.46,NA,NA,NA,2.15,NA,NA,NA,3.082
NA,NA,0.44,NA,NA,NA,1.69,NA,NA,NA,5.577
NA,NA,NA,NA,NA,NA,2.23,NA,NA,NA,2.192
NA,NA,NA,NA,NA,NA,1.06,NA,NA,NA,3.421
NA,NA,NA,NA,NA,NA,3.16,NA,NA,NA,3.051
NA,NA,NA,NA,NA,NA,2.52,NA,NA,NA,2.191
NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,2.67
NA,NA,NA,NA,NA,NA,2.39,NA,NA,NA,1.747
NA,NA,NA,NA,NA,NA,1.99,NA,NA,NA,2.853
NA,NA,NA,NA,NA,NA,2.19,NA,NA,NA,2.462
NA,NA,NA,NA,NA,NA,2.02,NA,NA,NA,3.77
NA,NA,NA,NA,NA,NA,1.63,NA,NA,NA,1.478
NA,NA,NA,NA,NA,NA,2.05,NA,NA,NA,3.462
NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA,1.866
4.8,NA,0.35,NA,NA,NA,1.17,NA,NA,NA,6.142
NA,NA,NA,NA,NA,NA,1.97,NA,NA,NA,4.66
NA,NA,NA,NA,NA,NA,1.79,NA,NA,NA,3.596
5.5,NA,0.39,NA,NA,NA,1.96,NA,NA,NA,5.839
5.7,NA,NA,NA,NA,NA,2.301,NA,NA,NA,7.823
NA,NA,0.42,NA,NA,NA,2.3,NA,NA,NA,4.385
6.52,NA,NA,NA,NA,NA,2.17,NA,NA,NA,7.878
6.25,NA,0.68,NA,NA,NA,1.46,NA,NA,NA,7.455
NA,NA,NA,NA,NA,NA,1.92,NA,NA,NA,2.665
5.8,NA,NA,NA,NA,NA,1.51,NA,NA,NA,7.736
NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,1.475
NA,NA,NA,NA,NA,NA,1.39,NA,NA,NA,2.37
6.4,NA,NA,NA,NA,NA,1.93,NA,NA,NA,8.3
NA,NA,NA,NA,NA,NA,1.194,NA,NA,NA,2.361
NA,NA,NA,NA,NA,NA,1.88,NA,NA,NA,2.442
NA,NA,NA,NA,NA,NA,1.77,NA,NA,NA,3.368
NA,NA,NA,NA,NA,NA,2.52,NA,NA,NA,2.441
NA,NA,NA,NA,NA,NA,1.89,NA,NA,NA,1.046
NA,NA,NA,NA,NA,NA,2.02,NA,NA,NA,2.024
NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,1.144
NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,1.024
NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA,2.043
NA,NA,0.46,NA,NA,NA,2.17,NA,NA,NA,1.933
NA,NA,0.4,NA,NA,NA,1.88,NA,NA,NA,2.763
NA,NA,0.38,NA,NA,NA,2.3,NA,NA,NA,3.438
NA,NA,0.44,NA,NA,NA,1.49,NA,NA,NA,1.586
NA,NA,0.4,NA,NA,NA,2.12,NA,NA,NA,3.153
NA,NA,NA,NA,NA,NA,1.53,NA,NA,NA,2.635
NA,NA,NA,NA,NA,NA,2.06,NA,NA,NA,9.4
NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,8
NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,1.352
5.8,NA,0.42,NA,NA,NA,2.42,NA,NA,NA,8.21
NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,3.1
NA,NA,0.1,NA,NA,NA,0.5,NA,NA,NA,4.2
NA,NA,0.1,NA,NA,NA,0.61,NA,NA,NA,5.3
NA,NA,0.15,NA,NA,NA,0.51,NA,NA,NA,0.5
NA,NA,0.17,NA,NA,NA,0.73,NA,NA,NA,4.5
NA,NA,0.13,NA,NA,NA,0.52,NA,NA,NA,4
NA,NA,0.16,NA,NA,NA,0.4,NA,NA,NA,3.8
6.1,,,NA,NA,NA,0.65,NA,NA,NA,6
6.21,,0.41,NA,NA,NA,1.7,NA,NA,NA,7.9
6.3,,,NA,NA,NA,1,NA,NA,NA,7
5.6,,,NA,NA,NA,1.2,NA,NA,NA,7.5
5.7,,,NA,NA,NA,0.8,NA,NA,NA,7.2
6.51,,0.35,NA,NA,NA,NA,NA,NA,NA,8.6
6.25,,,NA,NA,NA,0.5,NA,NA,NA,2.2
6.3,,,NA,NA,NA,0.56,NA,NA,NA,3.5
6.32,,,NA,NA,NA,0.47,NA,NA,NA,1
6,,0.41,,,,2.3,,,,8.2
4.46,,0.3,,,,2.7,,,,4.32
6.12,,0.28,,,,2.5,,,,8.2
5.8,,0.4,,,,1.8,,,,7.5
5.9,,0.38,,,,2,,,,6.5
6.2,,0.33,,,,1.7,,,,8
6,,0.34,,,,2.5,,,,7.8
6.1,,0.3,,,,2.6,,,,8.2
5.8,,0.38,,,,2.5,,,,4.32
6.2,,0.39,,,,2.6,,,,8.2
6.1,,0.39,,,,2.7,,,,7.5
5.8,,0.35,,,,2,,,,6.5
6,,0.3,,,,1.7,,,,8
6.1,,0.2,,,,1,,,,7.8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6
